"IL12I","IL12I","IFNgI","IFNgI","IL4I","IL4I","IL10I","IL10I","MPI","MPI","TrII","TrII","Th1II","Th1II","Th2II","Th2II","DCI","DCI"
"rc","r","rc","r","rc","r","rc","r","n","h","n","h","n","h","n","h","n","h"
0.795275,0.09251,0.396104,0.340829,0.343585,0.100127,0.654146,0.290755,4,0.995588,2,0.723362,5,0.3407,4,0.381317,3,0.226734
0.555408,0.443329,0.364765,0.362535,0.259044,0.236427,0.840823,0.017741,1,0.205711,1,0.825838,1,0.467486,3,0.621458,1,0.985952
0.437989,0.125284,0.736814,0.211456,0.081301,0.075963,0.611534,0.033167,4,0.721281,1,0.014132,2,0.449427,5,0.215506,2,0.538351
0.647577,0.170984,0.456008,0.196011,0.399331,0.196617,0.924891,0.002404,2,0.189253,2,0.422419,2,0.596438,3,0.33498,4,0.427923
0.55625,0.29314,0.488088,0.241883,0.802693,0.144675,0.470932,0.007429,5,0.894908,5,0.590481,3,0.437448,3,0.743129,2,0.085872
0.470841,0.35921,0.295693,0.161855,0.081301,0.075963,0.290003,0.272787,2,0.196945,4,0.011674,5,0.747241,1,0.950518,3,0.462766
0.60814,0.244684,0.465852,0.381826,0.3312,0.325252,0.780539,0.108173,5,0.830951,4,0.590218,1,0.414712,4,0.602648,2,0.999409
0.286385,0.049602,0.548751,0.267862,0.473491,0.445665,0.670995,0.085138,3,0.688845,1,0.251999,4,0.746209,4,0.978222,2,0.560881
0.55383,0.347291,0.530964,0.375607,0.163484,0.103651,0.679028,0.165236,2,0.643611,1,0.756895,5,0.522644,1,0.878361,1,0.749858
0.481257,0.225141,0.519815,0.46098,0.090481,0.0877,0.902435,0.07533,4,0.755132,4,0.069934,3,0.385699,2,0.59692,2,0.513903
0.438488,0.071881,0.71655,0.216727,0.558776,0.427683,0.54102,0.182577,1,0.747174,5,0.406333,1,0.954008,3,0.812334,3,0.035785
